id,name,code,type,default_credit_account_id/id,default_debit_account_id/id,company_id/id,currency_id/id,bank_statements_source,show_on_dashboard
account_journal_abdo_1,AL HILAL BANK,AHB,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_345,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_345,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_2,"Byblos Bank, Lebanon 375-3602412-001",BBL,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_181,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_181,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_3,"Barclays Bank (Suisse) SA, Euro A/c No.17043800-0814",BBSE,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_197,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_197,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_4,Bank Muscat- OMR A/c No. 0424 0241 2874 0011,BMOMR,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_165,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_165,sbk_company.company_sbk_abu_dhabi_office,base.OMR,Record Manually,True
account_journal_abdo_5,Bank Muscat- OMR,BMOMR,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_165,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_165,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_6,Bank Muscat- USD,BMUSD,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_166,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_166,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_7,Bank Muscat- USD A/c No. 0424 0241 2874 0027,BMUSD,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_166,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_166,sbk_company.company_sbk_abu_dhabi_office,base.USD,Record Manually,True
account_journal_abdo_8,Dubai Islamic Bank 1444000,DIB,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_186,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_186,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_9,Oman International Bank- HSBC (OMR) 215-003427-001,HSBC,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_198,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_198,sbk_company.company_sbk_abu_dhabi_office,base.OMR,Record Manually,True
account_journal_abdo_10,Intercontinental Bank of Lebanon $ 0167637,ICBL,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_172,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_172,sbk_company.company_sbk_abu_dhabi_office,base.USD,Record Manually,True
account_journal_abdo_11,Lebanon Intercontinental Bank - $ TD 0167637 016,LIB,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_193,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_193,sbk_company.company_sbk_abu_dhabi_office,base.USD,Record Manually,True
account_journal_abdo_12,"Morocco, Wafa Bank- 2580361259971",MWB,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_196,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_196,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_13,Oman Arab Bank-3102-150426-500,OAB,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_194,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_194,sbk_company.company_sbk_abu_dhabi_office,base.OMR,Record Manually,True
account_journal_abdo_14,United Arab Bank - 1012-105747-001,UAB1,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_163,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_163,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_15,United Arab Bank (USD) 1012-105747-002,UAB2,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_199,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_199,sbk_company.company_sbk_abu_dhabi_office,base.USD,Record Manually,True
account_journal_abdo_16,Union National Bank- 650 188 4186,UNB,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_164,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_164,sbk_company.company_sbk_abu_dhabi_office,,Record Manually,True
account_journal_abdo_17,Intercontinental Bank of Lebanon $ 0167637 01 4,IBL,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_172,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_17,sbk_company.company_sbk_abu_dhabi_office,base.USD,Record Manually,True
account_journal_abdo_18,"Barclays Bank (Suisse) SA, USD A/c No.17043800-0331",BBS,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_228,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_228,sbk_company.company_sbk_abu_dhabi_office,base.USD,Record Manually,True
account_journal_abdo_19,Euro- NBAD Geneva- A/c No. 24082001,NBAD,Bank,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_229,l10n_sbk_abu_dhabi_office.account_account_abu_dhabi_office_229,sbk_company.company_sbk_abu_dhabi_office,base.EUR,Record Manually,True
